areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDate
E06000023,"Bristol, City of",ltla,28/06/2020,143
E06000023,"Bristol, City of",ltla,27/06/2020,143
E06000023,"Bristol, City of",ltla,26/06/2020,143
E06000023,"Bristol, City of",ltla,25/06/2020,143
E06000023,"Bristol, City of",ltla,24/06/2020,143
E06000023,"Bristol, City of",ltla,23/06/2020,143
E06000023,"Bristol, City of",ltla,22/06/2020,143
E06000023,"Bristol, City of",ltla,21/06/2020,143
E06000023,"Bristol, City of",ltla,20/06/2020,142
E06000023,"Bristol, City of",ltla,19/06/2020,142
E06000023,"Bristol, City of",ltla,18/06/2020,142
E06000023,"Bristol, City of",ltla,17/06/2020,141
E06000023,"Bristol, City of",ltla,16/06/2020,141
E06000023,"Bristol, City of",ltla,15/06/2020,139
E06000023,"Bristol, City of",ltla,14/06/2020,139
E06000023,"Bristol, City of",ltla,13/06/2020,137
E06000023,"Bristol, City of",ltla,12/06/2020,137
E06000023,"Bristol, City of",ltla,11/06/2020,136
E06000023,"Bristol, City of",ltla,10/06/2020,136
E06000023,"Bristol, City of",ltla,09/06/2020,136
E06000023,"Bristol, City of",ltla,08/06/2020,136
E06000023,"Bristol, City of",ltla,07/06/2020,135
E06000023,"Bristol, City of",ltla,06/06/2020,134
E06000023,"Bristol, City of",ltla,05/06/2020,134
E06000023,"Bristol, City of",ltla,04/06/2020,134
E06000023,"Bristol, City of",ltla,03/06/2020,133
E06000023,"Bristol, City of",ltla,02/06/2020,133
E06000023,"Bristol, City of",ltla,01/06/2020,133
E06000023,"Bristol, City of",ltla,31/05/2020,132
E06000023,"Bristol, City of",ltla,30/05/2020,132
E06000023,"Bristol, City of",ltla,29/05/2020,132
E06000023,"Bristol, City of",ltla,28/05/2020,132
E06000023,"Bristol, City of",ltla,27/05/2020,132
E06000023,"Bristol, City of",ltla,26/05/2020,132
E06000023,"Bristol, City of",ltla,25/05/2020,132
E06000023,"Bristol, City of",ltla,24/05/2020,131
E06000023,"Bristol, City of",ltla,23/05/2020,130
E06000023,"Bristol, City of",ltla,22/05/2020,130
E06000023,"Bristol, City of",ltla,21/05/2020,129
E06000023,"Bristol, City of",ltla,20/05/2020,128
E06000023,"Bristol, City of",ltla,19/05/2020,127
